L,R,G,B
380,0.06076,0.00000,0.11058
390,0.08700,0.00000,0.16790
400,0.13772,0.00000,0.26354
410,0.20707,0.00000,0.39852
420,0.31129,0.00000,0.60684
430,0.39930,0.00000,0.80505
440,0.40542,0.00000,0.87684
450,0.34444,0.00000,0.88080
460,0.11139,0.00000,0.86037
470,0.00000,0.15233,0.77928
480,0.00000,0.38550,0.65217
490,0.00000,0.49412,0.51919
500,0.00000,0.59271,0.40008
510,0.00000,0.69549,0.25749
520,0.00000,0.77773,0.00000
530,0.00000,0.81692,0.00000
540,0.00000,0.82625,0.00000
550,0.00000,0.81204,0.00000
560,0.47369,0.77626,0.00000
570,0.70174,0.71523,0.00000
580,0.84922,0.62468,0.00000
590,0.94726,0.49713,0.00000
600,0.99803,0.31072,0.00000
610,1.00000,0.00000,0.00000
620,0.95520,0.00000,0.00000
630,0.86620,0.00000,0.00000
640,0.76170,0.00000,0.00000
650,0.64495,0.00000,0.00000
660,0.52857,0.00000,0.00000
670,0.41817,0.00000,0.00000
680,0.33202,0.00000,0.00000
690,0.25409,0.00000,0.00000
700,0.19695,0.00000,0.00000
710,0.15326,0.00000,0.00000
720,0.11902,0.00000,0.00000
730,0.09063,0.00000,0.00000
740,0.06898,0.00000,0.00000
750,0.05150,0.00000,0.00000
760,0.04264,0.00000,0.00000
770,0.03666,0.00000,0.00794
780,0.00000,0.00000,0.00000
